sparsity,accuracy,precision,recall,f1
0.0,0.711,0.6970108695652174,0.9293478260869565,0.796583850931677
0.1,0.715,0.7023643949930459,0.9148550724637681,0.7946498819826908
0.2,0.715,0.7055630936227951,0.9420289855072463,0.8068269976726145
0.3,0.647,0.6759628154050464,0.9221014492753623,0.7800766283524905
0.4,0.472,0.8083538083538083,0.5960144927536232,0.6861313868613139
0.5,0.537,0.7583892617449665,0.6141304347826086,0.6786786786786787
0.6,0.474,0.6778523489932886,0.5489130434782609,0.6066066066066066
0.7,0.179,0.45695364238410596,0.125,0.19630156472261737
0.8,0.11,0.0,0.0,0.0
0.9,0.114,0.0,0.0,0.0
